task_type,tone,n_responses,avg_response_word_count,avg_response_sentence_count,avg_response_avg_sentence_length,avg_response_exclamation_count,avg_response_question_count,avg_response_politeness_word_count,avg_response_first_person_count,avg_response_modal_verb_count,avg_sentiment_score,avg_please_count,avg_thank_count,avg_thanks_count,avg_appreciate_count,avg_sorry_count
advisory,commanding,15,181.46666666666667,22.066666666666666,8.295041662860122,2.0,0.3333333333333333,0.13333333333333333,84.0,0.9333333333333333,0.9824333333333333,0.0,0.0,0.0,0.0,0.0
advisory,neutral,15,261.3333333333333,27.733333333333334,9.423064984700137,0.6,0.4666666666666667,0.13333333333333333,127.4,3.2,0.9943866666666666,0.0,0.0,0.0,0.0,0.0
advisory,polite,15,284.73333333333335,30.133333333333333,9.45113134671533,2.2666666666666666,1.2,0.26666666666666666,128.06666666666666,5.466666666666667,0.9954000000000001,0.0,0.0,0.0,0.0,0.0
analytical,commanding,15,308.6,23.2,13.642680420886304,0.4,0.0,0.13333333333333333,182.8,7.266666666666667,0.71716,0.13333333333333333,0.0,0.0,0.0,0.0
analytical,neutral,15,405.4,29.933333333333334,13.8389117819944,0.0,0.0,0.0,233.33333333333334,13.266666666666667,0.6576066666666667,0.0,0.0,0.0,0.0,0.0
analytical,polite,15,487.8666666666667,35.2,13.900153831708879,2.2,0.06666666666666667,0.26666666666666666,262.0,14.133333333333333,0.9424866666666668,0.0,0.0,0.13333333333333333,0.0,0.0
creative,commanding,15,120.66666666666667,11.8,12.87083882783883,0.0,0.8,0.0,43.93333333333333,1.0666666666666667,0.8277933333333334,0.0,0.0,0.0,0.0,0.0
creative,neutral,15,147.86666666666667,13.066666666666666,14.253628671588983,0.0,1.1333333333333333,0.0,55.666666666666664,1.1333333333333333,0.7305200000000001,0.0,0.0,0.0,0.0,0.0
creative,polite,15,173.13333333333333,14.866666666666667,13.196975516552401,1.7333333333333334,1.0,0.0,67.4,1.7333333333333334,0.9834533333333333,0.0,0.0,0.0,0.0,0.0
factual,commanding,15,373.1333333333333,16.066666666666666,22.854424676332936,1.0666666666666667,0.0,0.0,133.06666666666666,1.0666666666666667,0.5295133333333334,0.0,0.0,0.0,0.0,0.0
factual,neutral,15,485.4,21.0,25.817047992917402,0.6666666666666666,0.0,0.0,177.93333333333334,2.1333333333333333,0.46222666666666673,0.0,0.0,0.0,0.0,0.0
factual,polite,15,504.8,24.933333333333334,21.051071568617395,2.6666666666666665,0.2,0.06666666666666667,183.0,2.6,0.5739666666666667,0.0,0.06666666666666667,0.0,0.0,0.0
